Time,Displacement,Tensile strain (Displacement),Force
(ms),(mm),(%),(N)
"0.0000","-0.2224","-0.2556","0.0003"
"20.0000","-0.2192","-0.2520","0.0019"
"40.0000","-0.2171","-0.2495","0.0028"
"60.0000","-0.2164","-0.2487","0.0030"
"80.0000","-0.2164","-0.2487","0.0024"
"100.0000","-0.2165","-0.2489","0.0020"
"120.0000","-0.2166","-0.2490","0.0021"
"140.0000","-0.2167","-0.2491","0.0017"
"160.0000","-0.2167","-0.2491","0.0015"
"180.0000","-0.2168","-0.2492","0.0011"
"200.0000","-0.2168","-0.2492","0.0012"
"220.0000","-0.2169","-0.2493","0.0014"
"240.0000","-0.2170","-0.2494","0.0013"
"260.0000","-0.2170","-0.2495","0.0011"
"280.0000","-0.2171","-0.2495","0.0013"
"300.0000","-0.2172","-0.2496","0.0010"
"320.0000","-0.2172","-0.2497","0.0006"
"340.0000","-0.2173","-0.2498","-0.0001"
"360.0000","-0.2174","-0.2499","-0.0004"
"380.0000","-0.2175","-0.2499","0.0001"
"400.0000","-0.2175","-0.2500","0.0002"
"420.0000","-0.2176","-0.2501","0.0002"
"440.0000","-0.2177","-0.2502","0.0004"
"460.0000","-0.2177","-0.2503","0.0002"
"480.0000","-0.2178","-0.2503","-0.0002"
"500.0000","-0.2179","-0.2504","-0.0003"
"520.0000","-0.2179","-0.2505","-0.0002"
"540.0000","-0.2180","-0.2505","-0.0002"
"560.0000","-0.2180","-0.2506","-0.0004"
"580.0000","-0.2181","-0.2507","-0.0004"
"600.0000","-0.2181","-0.2507","-0.0004"
"620.0000","-0.2182","-0.2508","-0.0006"
"640.0000","-0.2182","-0.2509","-0.0005"
"660.0000","-0.2183","-0.2509","-0.0008"
"680.0000","-0.2183","-0.2510","-0.0012"
"700.0000","-0.2184","-0.2510","-0.0013"
"720.0000","-0.2184","-0.2511","-0.0013"
"740.0000","-0.2185","-0.2511","-0.0011"
"760.0000","-0.2185","-0.2512","-0.0012"
"780.0000","-0.2185","-0.2512","-0.0013"
"800.0000","-0.2186","-0.2513","-0.0013"
"820.0000","-0.2186","-0.2513","-0.0016"
"840.0000","-0.2187","-0.2513","-0.0015"
"860.0000","-0.2187","-0.2514","-0.0014"
"880.0000","-0.2187","-0.2514","-0.0016"
"900.0000","-0.2188","-0.2514","-0.0018"
"920.0000","-0.2188","-0.2515","-0.0016"
"940.0000","-0.2188","-0.2515","-0.0018"
"960.0000","-0.2188","-0.2515","-0.0017"
"980.0000","-0.2189","-0.2516","-0.0019"
"1000.0000","-0.2189","-0.2516","-0.0018"
"1020.0000","-0.2189","-0.2516","-0.0017"
"1040.0000","-0.2189","-0.2516","-0.0021"
"1059.9999","-0.2189","-0.2517","-0.0022"
"1080.0000","-0.2190","-0.2517","-0.0023"
"1100.0000","-0.2190","-0.2517","-0.0023"
"1120.0000","-0.2190","-0.2517","-0.0024"
"1140.0000","-0.2190","-0.2517","-0.0026"
"1160.0000","-0.2190","-0.2518","-0.0028"
"1179.9999","-0.2190","-0.2518","-0.0026"
"1200.0000","-0.2191","-0.2518","-0.0026"
"1220.0000","-0.2191","-0.2518","-0.0028"
"1240.0000","-0.2191","-0.2518","-0.0027"
"1260.0000","-0.2191","-0.2519","-0.0028"
"1280.0000","-0.2191","-0.2519","-0.0026"
"1300.0000","-0.2191","-0.2519","-0.0026"
"1320.0001","-0.2192","-0.2519","-0.0028"
"1340.0000","-0.2192","-0.2519","-0.0027"
"1360.0000","-0.2192","-0.2519","-0.0030"
"1380.0000","-0.2192","-0.2519","-0.0033"
"1400.0000","-0.2192","-0.2519","-0.0030"
"1420.0000","-0.2192","-0.2520","-0.0028"
"1440.0001","-0.2192","-0.2520","-0.0030"
"1460.0000","-0.2192","-0.2520","-0.0032"
"1480.0000","-0.2192","-0.2520","-0.0035"
"1500.0000","-0.2192","-0.2520","-0.0034"
"1520.0000","-0.2192","-0.2520","-0.0034"
"1540.0000","-0.2193","-0.2520","-0.0036"
"1559.9999","-0.2193","-0.2520","-0.0036"
"1580.0000","-0.2193","-0.2520","-0.0038"
"1600.0000","-0.2193","-0.2520","-0.0036"
"1620.0000","-0.2193","-0.2520","-0.0035"
"1640.0000","-0.2193","-0.2520","-0.0037"
"1660.0000","-0.2193","-0.2521","-0.0037"
"1679.9999","-0.2193","-0.2521","-0.0039"
"1700.0000","-0.2193","-0.2521","-0.0039"
"1720.0000","-0.2193","-0.2521","-0.0039"
"1740.0000","-0.2193","-0.2521","-0.0039"
"1760.0000","-0.2193","-0.2521","-0.0037"
